name,class
傷勢,affect
傷口,affect
傷天害理,affect
傷害,affect
傷心*,affect
傷悲,affect
傷感*,affect
傷殘,affect
傷痕*,affect
傷痛,affect
傷神,affect
傻,affect
傻子,affect
傻瓜,affect
傻笑,affect
像樣,affect
僥倖,affect
僵住,affect
僵冷,affect
僵化,affect
僵局,affect
僵持*,affect
僵硬,affect
優,affect
優勝,affect
優勢,affect
優惠,affect
優於,affect
優柔寡斷,affect
優秀,affect
優等,affect
優美,affect
優良,affect
優越,affect
優雅,affect
優點,affect
允諾,affect
元兇,affect
充沛,affect
兇*,affect
兇惡,affect
光亮,affect
光彩,affect
光榮,affect
光輝,affect
克制,affect
免費,affect
入侵,affect
內疚,affect
內疚感,affect
八卦,affect
公平,affect
公憤,affect
公正,affect
典範,affect
冒充,affect
冒昧,affect
冒犯,affect
冒險,affect
冠軍,affect
冷,affect
冷淡,affect
冷漠,affect
冷酷,affect
冷靜,affect
凌亂,affect
凱旋,affect
凶*,affect
凶惡,affect
凶殘,affect
凶猛,affect
出色,affect
分享,affect
分心,affect
分手,affect
分擔,affect
分散,affect
分歧,affect
分紅,affect
分裂,affect
判刑,affect
利己,affect
利潤,affect
利益,affect
刺傷,affect
刺激,affect
刺痛,affect
刺眼,affect
刺耳,affect
刻薄,affect
剝奪,affect
割,affect
創作,affect
創傷,affect
創建,affect
創立,affect
創造,affect
創造力,affect
劇烈,affect
功勞,affect
劣*,affect
劣勢,affect
助人,affect
勇士,affect
勇敢,affect
勇氣,affect
勉強,affect
動人,affect
動怒,affect
動搖,affect
動盪,affect
動聽,affect
勝利,affect
勝過,affect
勢利,affect
勾引,affect
卑劣,affect
卑微,affect
卑鄙,affect
卓越,affect
協助,affect
博學,affect
博愛,affect
危*,affect
危險,affect
厄運,affect
厚顏,affect
厚顏無恥,affect
原諒,affect
厭世,affect
厭倦,affect
厭惡,affect
厭煩,affect
厭食,affect
及時,affect
友*,affect
友善,affect
友好,affect
反叛,affect
反對,affect
反常,affect
反感,affect
反抗,affect
反派,affect
反胃,affect
反駁,affect
取笑,affect
受不了,affect
受傷,affect
受害,affect
受害者,affect
受寵,affect
受惠,affect
受罪,affect
受苦,affect
受虐,affect
受騙,affect
叛亂,affect
口吃,affect
古怪,affect
叫喊,affect
可人,affect
可以,affect
可信,affect
可厭,affect
可口,affect
可怕,affect
可恥,affect
可悲,affect
可惡,affect
可愛,affect
可憎,affect
可憐,affect
可接受,affect
可畏,affect
可笑,affect
可鄙,affect
可靠,affect
吃醋,affect
吃驚,affect
合宜,affect
合法,affect
合理,affect
同情,affect
同意,affect
吝嗇,affect
否定,affect
否認,affect
含糊,affect
吸引,affect
吹毛求疵,affect
吻,affect
吼叫,affect
呆*,affect
呆的,affect
周到,affect
呵呵,affect
呸,affect
呼天搶地,affect
命運,affect
咆嘯,affect
和事佬,affect
和善,affect
和平,affect
和煦,affect
和睦,affect
和藹,affect
和諧,affect
咒罵,affect
咬牙切齒,affect
咯咯笑,affect
哀傷,affect
哀怨,affect
哀愁,affect
哀慟,affect
哀求,affect
哀淒,affect
哀痛,affect
哀號,affect
品德,affect
品行,affect
哄騙,affect
哇,affect
哇哦,affect
哇塞,affect
哇賽,affect
哈,affect
哈哈,affect
哎呀,affect
哭喊,affect
哭泣,affect
哭訴,affect
哭鬧,affect
哽咽,affect
唉聲,affect
唐突,affect
問題,affect
啜泣,affect
善心,affect
善意,affect
善於交際,affect
善良,affect
喜上眉稍,affect
喜出望外,affect
喜劇,affect
喜宴,affect
喜形於色,affect
喜從天降,affect
喜怒哀樂,affect
喜怒無常,affect
喜悅,affect
喜愛,affect
喜慶,affect
喜新厭舊,affect
喜極而泣,affect
喜歡,affect
喜氣*,affect
喝采,affect
喪偶,affect
喪失,affect
喪心*,affect
喪志,affect
喪氣,affect
喪生,affect
喪盡*,affect
喪禮,affect
喪膽,affect
喪親,affect
單獨,affect
嗚咽,affect
嘆,affect
嘆息,affect
嘆氣,affect
嘉獎,affect
嘔吐,affect
嘮叨,affect
嘲弄,affect
嘲笑,affect
嘲罵,affect
嘲諷,affect
嘻,affect
嘻嘻,affect
嘿嘿,affect
噁,affect
噁心,affect
嚇*,affect
嚇人,affect
嚮往,affect
嚴厲,affect
嚴峻,affect
嚴格,affect
嚴肅,affect
嚴酷,affect
嚴重,affect
回春,affect
困*,affect
困惑,affect
困擾,affect
困難,affect
固執,affect
圓滿,affect
坎坷,affect
坦率,affect
坦白,affect
坦誠,affect
垃圾,affect
埋怨,affect
執拗,affect
堂皇,affect
堅固,affect
堅定,affect
堅強,affect
堅決,affect
報仇,affect
報復,affect
墮落,affect
壓制,affect
壓力,affect
壓抑,affect
壓迫,affect
壞,affect
壞事,affect
壞人,affect
壞心,affect
壞死,affect
壞的,affect
壞處,affect
壞蛋,affect
壞話,affect
壞運,affect
壯觀,affect
壯闊,affect
壯麗,affect
外傷,affect
外向,affect
外行,affect
多情,affect
多疑,affect
多餘,affect
夢想,affect
夢魘,affect
大,affect
大叫,affect
大方,affect
大笑,affect
大膽,affect
天堂,affect
天才,affect
天資,affect
天賦,affect
失去,affect
失控,affect
失敗,affect
失望,affect
失眠,affect
失誤,affect
奇妙,affect
奇怪,affect
奇特,affect
奇異,affect
奉承,affect
奉獻,affect
奚落,affect
女傑,affect
好,affect
好事,affect
好吃,affect
好哇,affect
好感,affect
好棒,affect
好極,affect
好玩,affect
好笑,affect
好處,affect
好運,affect
好鬥,affect
妄想,affect
妒忌,affect
妓女,affect
妨害,affect
妨礙,affect
威嚴,affect
威脅,affect
娛樂,affect
娼妓,affect
婊子,affect
媽的,affect
嫉*,affect
嫉妒,affect
嫌*,affect
嫩,affect
嫵媚,affect
嬉笑*,affect
嬉鬧,affect
嬌弱,affect
孝,affect
孝敬,affect
孝順,affect
孤*,affect
孤單,affect
孤獨,affect
宅,affect
安全,affect
安寧,affect
安心,affect
安慰,affect
安穩,affect
安逸,affect
安靜,affect
完備,affect
完善,affect
完美,affect
宏偉,affect
宏大,affect
宜人,affect
客氣,affect
害怕,affect
害羞,affect
害臊,affect
害蟲,affect
容光煥發,affect
容忍,affect
容易,affect
宿醉,affect
寂寞,affect
寂寥,affect
密友,affect
富,affect
富有,affect
富裕,affect
富豪,affect
寒酸,affect
寧靜,affect
寬大,affect
寬容,affect
寬恕,affect
寵愛,affect
寶貝,affect
寶貴,affect
尊嚴,affect
尊敬,affect
尊榮,affect
尊貴,affect
尊重,affect
尋歡作樂,affect
對,affect
對抗,affect
對質,affect
小偷,affect
小心,affect
小氣,affect
尖叫,affect
就緒,affect
尷尬,affect
屁眼,affect
岔開,affect
崇拜,affect
崇高,affect
工整,affect
巧妙,affect
巫婆,affect
巫術,affect
差,affect
差勁,affect
希望,affect
帥,affect
帥氣,affect
幫助,affect
幫忙,affect
幫手,affect
干擾,affect
平凡,affect
平和,affect
平安,affect
平庸,affect
平穩,affect
平靜,affect
幸好,affect
幸福,affect
幸運,affect
幹,affect
幻想,affect
幼稚,affect
幽默,affect
庇護,affect
廢物,affect
弄壞,affect
弄痛,affect
引人注目,affect
引誘,affect
弱,affect
弱點,affect
強,affect
強健,affect
強力,affect
強勁,affect
強勢,affect
強壯,affect
強姦,affect
強暴犯,affect
強求,affect
強烈,affect
強硬,affect
強迫,affect
很棒,affect
後悔,affect
徒勞,affect
徒勞無功,affect
徒然,affect
得意,affect
得意洋洋,affect
得罪,affect
得體,affect
徘徊,affect
從容,affect
復仇,affect
復甦,affect
復興,affect
徬徨,affect
微弱,affect
微笑,affect
微醺,affect
德行,affect
心情,affect
心愛,affect
心灰意冷,affect
心煩,affect
心煩意亂,affect
心痛,affect
心碎,affect
心神不定,affect
心神不寧,affect
心胸寬大,affect
心酸,affect
忌妒,affect
忍*,affect
忐忑*,affect
忘恩負義,affect
忘記,affect
忠,affect
忠孝,affect
忠實,affect
忠心,affect
忠誠,affect
快樂,affect
忽略,affect
忽視,affect
怒,affect
怒不*,affect
怒吼,affect
怒斥,affect
怒氣*,affect
怒火*,affect
怒目*,affect
怒罵,affect
怒色,affect
怒視,affect
怕,affect
怕生,affect
怕羞,affect
思,affect
思念,affect
思鄉,affect
怠慢,affect
怡人,affect
性情,affect
性感,affect
性騷擾,affect
怨恨,affect
怪,affect
怪人,affect
怪異,affect
怪胎,affect
怪誕,affect
恍惚,affect
恐嚇,affect
恐怖,affect
恐慌,affect
恐懼,affect
恥辱,affect
恨*,affect
恩典,affect
恩惠,affect
恬*,affect
恭維,affect
恰好,affect
恰當,affect
悅耳,affect
悔之*,affect
悔恨,affect
悔悟,affect
悔意,affect
悔改,affect
悔過,affect
悠閒,affect
患病,affect
悲傷,affect
悲劇,affect
悲哀,affect
悲喜*,affect
悲喜交加,affect
悲悽,affect
悲情,affect
悲愁,affect
悲慘,affect
悲慟,affect
悲憤,affect
悲憫,affect
悲歡*,affect
悲痛,affect
悲苦,affect
悲觀,affect
悶,affect
悶悶不樂,affect
情人,affect
情感,affect
情緒,affect
情緒化,affect
情願,affect
惋惜,affect
惡人,affect
惡作劇,affect
惡劣,affect
惡化,affect
惡名昭彰,affect
惡夢,affect
惡性,affect
惡意,affect
惡毒,affect
惡狠狠,affect
惡耗,affect
惡臭,affect
惡言,affect
惡運,affect
惡鬥,affect
惡魔,affect
惱*,affect
惱人,affect
惱怒,affect
想,affect
想像,affect
想像力,affect
想念,affect
惶*,affect
惹惱,affect
愁,affect
愁*,affect
愉*,affect
愉快,affect
愉悅,affect
愚弄,affect
愚笨,affect
愚蠢,affect
愛,affect
愛人,affect
愛好,affect
愛心,affect
愛情,affect
愛慕,affect
愛戀,affect
愛護,affect
感傷,affect
感恩,affect
感情,affect
感激,affect
感興趣,affect
感謝,affect
愧*,affect
慈善,affect
慈悲,affect
慈祥,affect
慌*,affect
慘,affect
慘*,affect
慢,affect
慶典,affect
慶功,affect
慶幸,affect
慶生,affect
慶祝,affect
慶賀,affect
慷慨,affect
慾望,affect
憂傷,affect
憂勞,affect
憂心,affect
憂心*,affect
憂患*,affect
憂愁,affect
憂慮,affect
憂煩,affect
憂鬱,affect
憎*,affect
憐惜,affect
憐憫,affect
憤*,affect
憤怒,affect
憤恨,affect
應付,affect
懊悔,affect
懊惱,affect
懦*,affect
懦夫,affect
懲罰,affect
懶惰,affect
懶散,affect
懷念,affect
懷疑,affect
懷疑論,affect
懷鄉,affect
懼怕,affect
戀人,affect
戀愛,affect
成功,affect
成就,affect
成見,affect
戒心,affect
戰亂,affect
戰勝,affect
戰敗,affect
戰火,affect
戰爭,affect
戰鬥,affect
戲弄,affect
才智,affect
才能,affect
才華,affect
打,affect
打仗,affect
打倒,affect
打岔,affect
打情罵俏,affect
打擊,affect
打擾,affect
打攪,affect
打敗,affect
打斷,affect
打架,affect
打破,affect
扭曲,affect
扶持,affect
批判,affect
批評,affect
承擔,affect
承諾,affect
把握,affect
抑制,affect
抑鬱,affect
投入,affect
抗爭,affect
抗議,affect
折磨,affect
抨擊,affect
抱,affect
抱怨,affect
抱歉,affect
抵制,affect
拉緊,affect
拋棄,affect
拒絕,affect
拙劣,affect
拮据,affect
拯救,affect
拷問,affect
拷打,affect
拼命,affect
指責,affect
挑剔,affect
挑戰,affect
挑逗,affect
挑釁,affect
挖苦,affect
挫折,affect
挫敗,affect
振作,affect
振奮,affect
捐贈,affect
掃興,affect
排斥,affect
掙扎,affect
掛心,affect
掛念,affect
掛慮,affect
控制,affect
控訴,affect
推崇,affect
提心吊膽,affect
提心弔膽,affect
提防,affect
插嘴,affect
換帖,affect
損人*,affect
損傷,affect
損壞,affect
損失,affect
損害,affect
搏鬥,affect
搖頭,affect
摧毀,affect
摯友,affect
摯情,affect
摯愛,affect
摯誠,affect
撒謊,affect
撫慰,affect
撫育,affect
擁抱,affect
擁護,affect
擅長,affect
擊,affect
擊敗,affect
操,affect
操勞,affect
操守,affect
操心,affect
擔保,affect
擔心,affect
擔憂,affect
擾亂,affect
擾人,affect
攪亂,affect
支持,affect
支撐,affect
支配,affect
收穫,affect
改善,affect
改進,affect
攻勢,affect
攻擊,affect
放下,affect
放任,affect
放屁,affect
放心,affect
放棄,affect
放縱,affect
放肆,affect
放鬆,affect
故障,affect
效率,affect
敏感,affect
敏捷,affect
敏銳,affect
救,affect
敗壞,affect
散漫,affect
敬意,affect
敬畏,affect
敬重,affect
整潔,affect
整齊,affect
敵人,affect
敵對,affect
敵意,affect
敵視,affect
昂貴,affect
明亮,affect
明智,affect
昏亂,affect
昏沉,affect
昏頭*,affect
易怒,affect
時髦,affect
景仰,affect
智慧,affect
智能,affect
智障,affect
暖,affect
暖和,affect
暴力,affect
暴怒,affect
暴躁,affect
曲解,affect
書呆子,affect
最佳,affect
最喜歡,affect
最好,affect
最愛,affect
有利,affect
有力,affect
有助,affect
有害,affect
有效,affect
有用,affect
有益,affect
有罪,affect
有興趣,affect
有趣,affect
有錢,affect
朋友,affect
服從,affect
期望,affect
期盼,affect
未可知,affect
未知,affect
末日,affect
杞人憂天,affect
枉然,affect
果斷,affect
柔,affect
柔和,affect
柔腸寸斷,affect
柔軟,affect
柔順,affect
栩栩如生,affect
棒,affect
棘手,affect
業障,affect
極好,affect
極樂,affect
極端,affect
榮幸,affect
榮耀,affect
榮譽,affect
樂,affect
樂不*,affect
樂善*,affect
樂園,affect
樂在其中,affect
樂天,affect
樂子,affect
樂得,affect
樂意,affect
樂極生悲,affect
樂此*,affect
樂而*,affect
樂觀,affect
樂觀*,affect
樂趣,affect
模糊,affect
機敏,affect
機警,affect
機靈,affect
欠債,affect
欠扁,affect
欠揍,affect
次等,affect
次級,affect
次要,affect
欣喜,affect
欣喜*,affect
欣慰,affect
欣欣*,affect
欣然,affect
欣賞,affect
欲絕,affect
欺*,affect
欺詐,affect
欺負,affect
欺騙,affect
欽佩,affect
款待,affect
歎為觀止,affect
歡呼,affect
歡喜*,affect
歡天喜地,affect
歡心,affect
歡愉,affect
歡樂,affect
歡欣*,affect
歡歡喜喜,affect
歡笑,affect
歡聚*,affect
歡聲*,affect
歡迎,affect
歡送,affect
正,affect
正妹,affect
正派,affect
正當,affect
正直,affect
正統,affect
正面,affect
歧視,affect
歪曲,affect
歸咎,affect
死,affect
死不*,affect
死亡,affect
死人,affect
死刑,affect
死對頭,affect
死心,affect
死期,affect
死氣*,affect
死當,affect
死路,affect
死黨,affect
殘廢,affect
殘忍,affect
殘暴,affect
殘酷,affect
殷勤,affect
殺,affect
殺死,affect
毀傷,affect
毀壞,affect
毀掉,affect
毀損,affect
毀敗,affect
毀棄,affect
毀滅,affect
毀滅性,affect
毀謗,affect
毅然,affect
毒*,affect
毛骨悚然,affect
毫無,affect
氣急敗壞,affect
氣憤,affect
氣氛,affect
氣派,affect
氣餒,affect
污穢,affect
決定,affect
決心,affect
沉悶,affect
沉著,affect
沉迷,affect
沉重,affect
沒用,affect
沮喪,affect
治療,affect
治癒,affect
沾沾自喜,affect
泣,affect
洩氣,affect
活力,affect
活潑,affect
活躍,affect
流淚,affect
流行,affect
浪漫,affect
消極,affect
消沉,affect
消滅,affect
淘氣,affect
淚流滿面,affect
淚珠,affect
淡漠,affect
淨土,affect
淫婦,affect
淫蕩,affect
深思,affect
深情,affect
深愛,affect
混亂,affect
混帳,affect
混淆,affect
混蛋,affect
淹沒,affect
清楚,affect
清白,affect
減弱,affect
渴望,affect
渴求,affect
溫和,affect
溫情,affect
溫暖,affect
溫柔,affect
溫馨,affect
滑稽,affect
滿意,affect
滿足,affect
漂亮,affect
漠不關心,affect
漫不經心,affect
潔淨,affect
激動,affect
激勵,affect
激怒,affect
激情,affect
激烈,affect
濫情,affect
濫用,affect
瀟灑,affect
火熱,affect
灰心,affect
災*,affect
災禍,affect
災難,affect
炫耀,affect
為難,affect
無,affect
無力,affect
無助,affect
無吸引力,affect
無味,affect
無奈,affect
無害,affect
無常,affect
無恥,affect
無情,affect
無惡意,affect
無意義,affect
無感,affect
無憂無慮,affect
無懼,affect
無效,affect
無暇,affect
無望,affect
無法防備,affect
無理,affect
無用,affect
無畏,affect
無痛,affect
無益,affect
無知,affect
無神,affect
無禮,affect
無精打采,affect
無聊,affect
無能,affect
無腦妹,affect
無視,affect
無趣,affect
無足輕重,affect
無辜,affect
無關緊要,affect
無防備,affect
焦急,affect
焦慮,affect
焦躁,affect
煎熬,affect
煩,affect
煩亂,affect
煩人,affect
煩勞,affect
煩心,affect
煩忙,affect
煩悶,affect
煩惱,affect
煩愁,affect
煩擾,affect
煩瑣,affect
煩膩,affect
煩躁,affect
煩雜,affect
熱切,affect
熱心,affect
熱情,affect
熱愛,affect
熱望,affect
熱淚盈眶,affect
熱烈,affect
熱絡,affect
熱衷,affect
熱鬧,affect
燦爛,affect
爆發,affect
爛,affect
爛人,affect
爛咖,affect
爛貨,affect
爭吵,affect
爭論,affect
爽,affect
爽心*,affect
爽快,affect
爽朗,affect
爽約,affect
牢靠,affect
牢騷,affect
特異,affect
牽掛,affect
犧牲,affect
犯法,affect
犯罪,affect
狂喜,affect
狂怒,affect
狂暴,affect
狂熱,affect
狂笑,affect
狂躁,affect
狗娘養的,affect
狗屁,affect
狠心,affect
狡猾,affect
狡詐,affect
狹小,affect
狹隘,affect
猛烈,affect
猜疑,affect
猶疑,affect
猶豫,affect
獎,affect
獎助,affect
獎勵,affect
獎品,affect
獎學金,affect
獎杯,affect
獎牌,affect
獎狀,affect
獎章,affect
獎賞,affect
獎金,affect
獨創,affect
獨自,affect
獲勝,affect
獲獎,affect
王八蛋,affect
玩,affect
玩樂,affect
玩笑,affect
玩耍,affect
玷污,affect
珍奇,affect
珍惜,affect
珍愛,affect
珍藏,affect
珍視,affect
珍貴,affect
理性,affect
理想,affect
理智,affect
瑣事,affect
瑣碎,affect
甜,affect
甜密,affect
甜心,affect
甜甜*,affect
甜美,affect
甜蜜,affect
甜言*,affect
甜頭,affect
生動,affect
生厭,affect
生命力,affect
生氣,affect
生氣勃勃,affect
生疏,affect
生病,affect
用力,affect
異常,affect
異議,affect
畸形,affect
疏忽,affect
疏漏,affect
疑心*,affect
疑惑,affect
疑慮,affect
疑懼,affect
疑神*,affect
疑難,affect
疑點,affect
疲乏,affect
疲倦,affect
疲勞,affect
疲弱,affect
疲憊,affect
疲於奔命,affect
疲累,affect
疼,affect
疼愛,affect
疼痛,affect
病,affect
痊癒,affect
痛,affect
痛不欲生,affect
痛哭流涕,affect
痛苦,affect
痛苦地,affect
痲痹,affect
痴狂,affect
瘋*,affect
瘋狂,affect
瘸,affect
瘸*,affect
癒合,affect
癡迷,affect
發怒,affect
發愁,affect
發抖,affect
發牢騷,affect
發狂,affect
發瘋,affect
發臭,affect
白痴,affect
白癡,affect
白目,affect
百感交集,affect
益處,affect
盛怒,affect
盜,affect
盡善盡美,affect
目瞪口呆,affect
相信,affect
盼望,affect
看不起,affect
真實,affect
真心,affect
真理,affect
真相,affect
真誠,affect
眼淚,affect
眼花撩亂,affect
眼花繚亂,affect
眾怒,affect
瞧不起,affect
矛盾,affect
知己,affect
知識,affect
知足,affect
破壞,affect
破壞性,affect
破滅,affect
確信,affect
確定,affect
祝福,affect
祝賀,affect
神經病,affect
神經質,affect
神聖,affect
禁忌,affect
禁止,affect
禍*,affect
福利,affect
福氣,affect
福祉,affect
禮節,affect
禮貌,affect
秀麗,affect
私人,affect
私生子,affect
稱讚,affect
積怨,affect
積極,affect
穩健,affect
空洞,affect
空虛,affect
突出,affect
窒息,affect
窒礙*,affect
窮,affect
窮乏,affect
窮困,affect
竊賊,affect
端正,affect
競爭,affect
笑,affect
笑容,affect
笑死,affect
笑翻,affect
笑話,affect
笨,affect
笨手笨腳,affect
笨拙,affect
笨蛋,affect
筋疲力竭,affect
答應,affect
簡單,affect
簡潔,affect
粗俗,affect
粗心,affect
粗暴,affect
粗糙,affect
粗重,affect
粗野,affect
粗魯,affect
精力,affect
精彩,affect
精心,affect
精疲,affect
精疲力盡,affect
精疲力竭,affect
精確,affect
精美,affect
糊塗,affect
糟,affect
糟糕,affect
糟蹋,affect
糟透,affect
約束,affect
紛爭,affect
索然無味,affect
累,affect
細心,affect
結實,affect
結巴,affect
絕妙,affect
絕望,affect
絢麗,affect
統治,affect
經歷,affect
緊張,affect
緊繃,affect
緩和,affect
繁瑣,affect
繃緊,affect
纏綿,affect
纏訟,affect
纏身,affect
缺乏,affect
缺失,affect
缺少,affect
缺德,affect
缺憾,affect
缺陷,affect
缺點,affect
罪,affect
罪人,affect
罪名,affect
罪大惡極,affect
罪孽*,affect
罪惡,affect
罪惡*,affect
罪惡感,affect
罪犯,affect
罪行,affect
罪過,affect
罹難,affect
美人,affect
美化,affect
美味,affect
美夢*,affect
美好,affect
美妙,affect
美德,affect
美滿,affect
美麗,affect
羞怯,affect
羞恥,affect
羞愧,affect
羞憤,affect
羞辱,affect
羨慕,affect
義,affect
義憤,affect
耀眼,affect
老舊,affect
耗盡,affect
耶,affect
聰明,affect
聰明才智,affect
肝腸寸斷,affect
肯定,affect
背叛,affect
胡扯,affect
能幹,affect
脅迫,affect
脆弱,affect
脾氣,affect
腐壞,affect
腐敗,affect
腐朽,affect
腐爛,affect
腐臭,affect
膩,affect
膽小,affect
膽怯,affect
膽戰心驚,affect
膽量,affect
自以為是,affect
自信,affect
自利,affect
自卑,affect
自在,affect
自大,affect
自尊,affect
自我,affect
自我中心,affect
自暴自棄,affect
自甘墮落,affect
自由,affect
自私,affect
自豪,affect
自負,affect
自責,affect
自鳴得意,affect
臭,affect
臭名,affect
臭名遠播,affect
臭味,affect
臭氣,affect
至善,affect
至喜,affect
至高無上,affect
致命,affect
興奮,affect
興旺,affect
興致,affect
興趣,affect
興高采烈,affect
舒坦,affect
舒服,affect
舒適,affect
良*,affect
良好,affect
艱困,affect
艱深,affect
艱澀,affect
艱苦,affect
艱辛,affect
艱鉅,affect
艱險,affect
艱難,affect
色情,affect
花招,affect
苛刻,affect
苛求,affect
若無其事,affect
苦,affect
苦惱,affect
苦樂,affect
苦樂參半,affect
苦甜,affect
苦臉,affect
英俊,affect
英勇,affect
英明,affect
英雄,affect
英雄氣概,affect
茁壯,affect
茫然,affect
草率,affect
荒唐,affect
荒謬,affect
莊嚴,affect
莊重,affect
華美,affect
華麗,affect
萬念俱灰,affect
萬歲,affect
落伍,affect
落空,affect
著迷,affect
蒙羞,affect
蔑視,affect
蕩婦,affect
虐待,affect
虔誠,affect
處罰,affect
虛弱,affect
虛心,affect
虛榮,affect
虛榮心,affect
虧損,affect
融洽,affect
蠢,affect
蠢*,affect
蠢妞,affect
蠢材,affect
蠢樣,affect
蠢蛋,affect
蠢豬,affect
蠢貨,affect
衝動,affect
衝擊,affect
衝突,affect
衰,affect
衰弱,affect
衰微,affect
衰敗,affect
衰老,affect
衰退,affect
衷心,affect
被吸引,affect
褫奪,affect
褻瀆,affect
親,affect
親信,affect
親切,affect
親吻,affect
親和,affect
親密,affect
親愛,affect
親愛的,affect
解決,affect
解脫,affect
觸怒,affect
觸景傷情,affect
觸目驚心,affect
討厭,affect
討厭鬼,affect
討喜,affect
設防,affect
許諾,affect
訴苦,affect
詐欺,affect
詐騙,affect
詛咒,affect
詫異,affect
詭計,affect
該死,affect
詼諧,affect
誇大,affect
認可,affect
認真,affect
誘人,affect
語氣,affect
誠,affect
誠實,affect
誠心,affect
誤,affect
誤會,affect
誤解,affect
說服,affect
說謊,affect
說長道短,affect
調情,affect
調戲,affect
調皮,affect
調解,affect
諂媚,affect
諷刺,affect
諾言,affect
謀殺,affect
謝天謝地,affect
謝意,affect
謝謝,affect
謹慎,affect
譏*,affect
警告,affect
譴責,affect
護,affect
變動,affect
變味,affect
變態,affect
變美,affect
變質,affect
讚,affect
讚不絕口,affect
讚佩,affect
讚嘆,affect
讚揚,affect
讚歎,affect
讚美,affect
讚譽,affect
讚賞,affect
豐富,affect
豪傑,affect
豪爽,affect
豪華,affect
負債,affect
負心,affect
負擔,affect
貢獻,affect
貧困,affect
貧病*,affect
貧窮,affect
貧苦,affect
貧賤,affect
貪,affect
貪圖,affect
貪婪,affect
貪心,affect
貪念,affect
貪慾,affect
貪求*,affect
貪汙,affect
貪污,affect
貪生*,affect
責備,affect
貶低,affect
費力,affect
賊*,affect
賤,affect
賤人,affect
賤民,affect
賤貨,affect
賤骨頭,affect
質疑,affect
贈與,affect
贊同,affect
贊成,affect
贊許,affect
贏,affect
贏取,affect
贏得,affect
贏錢,affect
贗品,affect
走運,affect
足夠,affect
跛,affect
跛腳,affect
踴躍,affect
蹂躪,affect
蹧蹋,affect
蹩腳,affect
躊躇,affect
躲避,affect
軟弱,affect
輕快,affect
輕忽,affect
輕蔑,affect
輕視,affect
輕鬆,affect
輝煌,affect
輸,affect
輸家,affect
輸掉,affect
辛酸,affect
辭職,affect
辱罵,affect
迫害,affect
迴避,affect
迷亂,affect
迷人,affect
迷失,affect
迷惑,affect
迷惘,affect
迷戀,affect
迷路,affect
退化,affect
逃避,affect
逃離,affect
逆,affect
逆向,affect
逗弄,affect
逗趣,affect
逝世,affect
造反,affect
遇到,affect
遇難,affect
遊戲,affect
過分,affect
過失,affect
過錯,affect
違心*,affect
違抗,affect
違法,affect
違犯,affect
違紀,affect
違約,affect
違背,affect
違規,affect
遠離,affect
適合,affect
適宜,affect
適時,affect
適當,affect
遭受,affect
遲到,affect
遲疑*,affect
遲鈍,affect
遺憾,affect
遺棄,affect
