chapter,word,lemma,pos,ner
1,Netherfield,Netherfield,NNP,LOCATION
1,Park,Park,NNP,LOCATION
1,is,be,VBZ,O
1,let,let,VBN,O
1,at,at,IN,O
1,last,last,JJ,O
1,?,?,.,O
1,"""","""",'',O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,replied,reply,VBD,O
1,that,that,IN,O
1,he,he,PRP,O
1,had,have,VBD,O
1,not,not,RB,O
1,.,.,.,O
1,"""","""",``,O
1,But,but,CC,O
1,it,it,PRP,O
1,is,be,VBZ,O
1,",",",",",",O
1,"""","""",``,O
1,returned,return,VBD,O
1,she,she,PRP,O
1,;,;,:,O
1,"""","""",'',O
1,for,for,IN,O
1,Mrs.,Mrs.,NNP,O
1,Long,Long,NNP,PERSON
1,has,have,VBZ,O
1,just,just,RB,O
1,been,be,VBN,O
1,here,here,RB,O
1,",",",",",",O
1,and,and,CC,O
1,she,she,PRP,O
1,told,tell,VBD,O
1,me,I,PRP,O
1,all,all,DT,O
1,about,about,IN,O
1,it,it,PRP,O
1,.,.,.,O
1,"""","""",'',O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,made,make,VBD,O
1,no,no,DT,O
1,answer,answer,NN,O
1,.,.,.,O
1,"""","""",``,O
1,Do,do,VB,O
1,not,not,RB,O
1,you,you,PRP,O
1,want,want,VBP,O
1,to,to,TO,O
1,know,know,VB,O
1,who,who,WP,O
1,has,have,VBZ,O
1,taken,take,VBN,O
1,it,it,PRP,O
1,?,?,.,O
1,"""","""",'',O
1,cried,cry,VBD,O
1,his,he,PRP$,O
1,wife,wife,NN,O
1,impatiently,impatiently,RB,O
1,.,.,.,O
1,"""","""",``,O
1,_,_,NFP,O
1,You,you,PRP,O
1,_,_,NFP,O
1,want,want,VBP,O
1,to,to,TO,O
1,tell,tell,VB,O
1,me,I,PRP,O
1,",",",",",",O
1,and,and,CC,O
1,I,I,PRP,O
1,have,have,VBP,O
1,no,no,DT,O
1,objection,objection,NN,O
1,to,to,IN,O
1,hearing,hear,VBG,O
1,it,it,PRP,O
1,.,.,.,O
1,"""","""",'',O
1,This,this,DT,O
1,was,be,VBD,O
1,invitation,invitation,NN,O
1,enough,enough,RB,O
1,.,.,.,O
1,"""","""",``,O
1,Why,why,WRB,O
1,",",",",",",O
1,my,my,PRP$,O
1,dear,dear,JJ,O
1,",",",",",",O
1,you,you,PRP,O
1,must,must,MD,O
1,know,know,VB,O
1,",",",",",",O
1,Mrs.,Mrs.,NNP,O
1,Long,Long,NNP,PERSON
1,says,say,VBZ,O
1,that,that,IN,O
1,Netherfield,Netherfield,NNP,LOCATION
1,is,be,VBZ,O
1,taken,take,VBN,O
1,by,by,IN,O
1,a,a,DT,O
1,young,young,JJ,O
1,man,man,NN,O
1,of,of,IN,O
1,large,large,JJ,O
1,fortune,fortune,NN,O
1,from,from,IN,O
1,the,the,DT,O
1,north,north,NN,O
1,of,of,IN,O
1,England,England,NNP,COUNTRY
1,;,;,:,O
1,that,that,IN,O
1,he,he,PRP,O
1,came,come,VBD,O
1,down,down,RP,O
1,on,on,IN,O
1,Monday,Monday,NNP,DATE
1,in,in,IN,O
1,a,a,DT,O
1,chaise,chaise,NN,O
1,and,and,CC,O
1,four,four,CD,NUMBER
1,to,to,TO,O
1,see,see,VB,O
1,the,the,DT,O
1,place,place,NN,O
1,",",",",",",O
1,and,and,CC,O
1,was,be,VBD,O
1,so,so,RB,O
1,much,much,JJ,O
1,delighted,delighted,JJ,O
1,with,with,IN,O
1,it,it,PRP,O
1,that,that,IN,O
1,he,he,PRP,O
1,agreed,agree,VBD,O
1,with,with,IN,O
1,Mr.,Mr.,NNP,O
1,Morris,Morris,NNP,PERSON
1,immediately,immediately,RB,O
1,;,;,:,O
1,that,that,IN,O
1,he,he,PRP,O
1,is,be,VBZ,O
1,to,to,TO,O
1,take,take,VB,O
1,possession,possession,NN,O
1,before,before,IN,O
1,Michaelmas,Michaelmas,NNP,O
1,",",",",",",O
1,and,and,CC,O
1,some,some,DT,O
1,of,of,IN,O
1,his,he,PRP$,O
1,servants,servant,NNS,O
1,are,be,VBP,O
1,to,to,TO,O
1,be,be,VB,O
1,in,in,IN,O
1,the,the,DT,O
1,house,house,NN,O
1,by,by,IN,O
1,the,the,DT,DATE
1,end,end,NN,DATE
1,of,of,IN,DATE
1,next,next,JJ,DATE
1,week,week,NN,DATE
1,.,.,.,O
1,"""","""",'',O
1,"""","""",``,O
1,What,what,WP,O
1,is,be,VBZ,O
1,his,he,PRP$,O
1,name,name,NN,O
1,?,?,.,O
1,"""","""",'',O
1,"""","""",``,O
1,Bingley,Bingley,NNP,O
1,.,.,.,O
1,"""","""",'',O
1,"""","""",``,O
1,Is,be,VBZ,O
1,he,he,PRP,O
1,married,marry,VBD,O
1,or,or,CC,O
1,single,single,JJ,O
1,?,?,.,O
1,"""","""",'',O
1,"""","""",``,O
1,Oh,oh,UH,O
1,!,!,.,O
1,single,single,JJ,O
1,",",",",",",O
1,my,my,PRP$,O
1,dear,dear,JJ,O
1,",",",",",",O
1,to,to,TO,O
1,be,be,VB,O
1,sure,sure,JJ,O
1,!,!,.,O
1,A,a,DT,O
1,single,single,JJ,O
1,man,man,NN,O
1,of,of,IN,O
1,large,large,JJ,O
1,fortune,fortune,NN,O
1,;,;,",",O
1,four,four,CD,NUMBER
1,or,or,CC,O
1,five,five,CD,NUMBER
1,thousand,thousand,CD,NUMBER
1,a,a,DT,DURATION
1,year,year,NN,DURATION
1,.,.,.,O
1,What,what,WDT,O
1,a,a,DT,O
1,fine,fine,JJ,O
1,thing,thing,NN,O
1,for,for,IN,O
1,our,we,PRP$,O
1,girls,girl,NNS,O
1,!,!,.,O
1,"""","""",``,O
1,"""","""",``,O
1,How,how,WRB,O
1,so,so,RB,O
1,?,?,.,O
1,how,how,WRB,O
1,can,can,MD,O
1,it,it,PRP,O
1,affect,affect,VB,O
1,them,they,PRP,O
1,?,?,.,O
1,"""","""",``,O
1,"""","""",``,O
1,My,my,PRP$,O
1,dear,dear,JJ,O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,",",",",",",O
1,"""","""",``,O
1,replied,reply,VBD,O
1,his,he,PRP$,O
1,wife,wife,NN,O
1,",",",",",",O
1,"""","""",'',O
1,how,how,WRB,O
1,can,can,MD,O
1,you,you,PRP,O
1,be,be,VB,O
1,so,so,RB,O
1,tiresome,tiresome,JJ,O
1,!,!,.,O
1,You,you,PRP,O
1,must,must,MD,O
1,know,know,VB,O
1,that,that,IN,O
1,I,I,PRP,O
1,am,be,VBP,O
1,thinking,think,VBG,O
1,of,of,IN,O
1,his,he,PRP$,O
1,marrying,marry,VBG,O
1,one,one,CD,NUMBER
1,of,of,IN,O
1,them,they,PRP,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,Is,be,VBZ,O
1,that,that,DT,O
1,his,he,PRP$,O
1,design,design,NN,O
1,in,in,IN,O
1,settling,settle,VBG,O
1,here,here,RB,O
1,?,?,.,O
1,"""","""",``,O
1,"""","""",``,O
1,Design,design,NN,O
1,!,!,.,O
1,nonsense,nonsense,NN,O
1,",",",",",",O
1,how,how,WRB,O
1,can,can,MD,O
1,you,you,PRP,O
1,talk,talk,VB,O
1,so,so,RB,O
1,!,!,.,O
1,But,but,CC,O
1,it,it,PRP,O
1,is,be,VBZ,O
1,very,very,RB,O
1,likely,likely,JJ,O
1,that,that,IN,O
1,he,he,PRP,O
1,_,_,NFP,O
1,may,may,MD,O
1,_,_,NFP,O
1,fall,fall,VB,O
1,in,in,IN,O
1,love,love,NN,O
1,with,with,IN,O
1,one,one,CD,NUMBER
1,of,of,IN,O
1,them,they,PRP,O
1,",",",",",",O
1,and,and,CC,O
1,therefore,therefore,RB,O
1,you,you,PRP,O
1,must,must,MD,O
1,visit,visit,VB,O
1,him,he,PRP,O
1,as,as,RB,O
1,soon,soon,RB,O
1,as,as,IN,O
1,he,he,PRP,O
1,comes,come,VBZ,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,I,I,PRP,O
1,see,see,VBP,O
1,no,no,DT,O
1,occasion,occasion,NN,O
1,for,for,IN,O
1,that,that,DT,O
1,.,.,.,O
1,You,you,PRP,O
1,and,and,CC,O
1,the,the,DT,O
1,girls,girl,NNS,O
1,may,may,MD,O
1,go,go,VB,O
1,",",",",",",O
1,or,or,CC,O
1,you,you,PRP,O
1,may,may,MD,O
1,send,send,VB,O
1,them,they,PRP,O
1,by,by,IN,O
1,themselves,themselves,PRP,O
1,",",",",",",O
1,which,which,WDT,O
1,perhaps,perhaps,RB,O
1,will,will,MD,O
1,be,be,VB,O
1,still,still,RB,O
1,better,good,JJR,O
1,",",",",",",O
1,for,for,IN,O
1,as,as,IN,O
1,you,you,PRP,O
1,are,be,VBP,O
1,as,as,IN,O
1,handsome,handsome,JJ,O
1,as,as,IN,O
1,any,any,DT,O
1,of,of,IN,O
1,them,they,PRP,O
1,",",",",",",O
1,Mr.,Mr.,NNP,O
1,Bingley,Bingley,NNP,PERSON
1,might,might,MD,O
1,like,like,VB,O
1,you,you,PRP,O
1,the,the,DT,O
1,best,good,JJS,O
1,of,of,IN,O
1,the,the,DT,O
1,party,party,NN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,My,my,PRP$,O
1,dear,dear,JJ,O
1,",",",",",",O
1,you,you,PRP,O
1,flatter,flat,JJR,O
1,me,I,PRP,O
1,.,.,.,O
1,I,I,PRP,O
1,certainly,certainly,RB,O
1,_,_,NFP,O
1,have,have,VBP,O
1,_,_,NFP,O
1,had,have,VBD,O
1,my,my,PRP$,O
1,share,share,NN,O
1,of,of,IN,O
1,beauty,beauty,NN,O
1,",",",",",",O
1,but,but,CC,O
1,I,I,PRP,O
1,do,do,VBP,O
1,not,not,RB,O
1,pretend,pretend,VB,O
1,to,to,TO,O
1,be,be,VB,O
1,any,any,DT,O
1,thing,thing,NN,O
1,extraordinary,extraordinary,JJ,O
1,now,now,RB,DATE
1,.,.,.,O
1,When,when,WRB,O
1,a,a,DT,O
1,woman,woman,NN,O
1,has,have,VBZ,O
1,five,five,CD,NUMBER
1,grown,grow,VBN,O
1,up,up,RP,O
1,daughters,daughter,NNS,O
1,",",",",",",O
1,she,she,PRP,O
1,ought,ought,MD,O
1,to,to,TO,O
1,give,give,VB,O
1,over,over,RP,O
1,thinking,thinking,NN,O
1,of,of,IN,O
1,her,she,PRP$,O
1,own,own,JJ,O
1,beauty,beauty,NN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,In,in,IN,O
1,such,such,JJ,O
1,cases,case,NNS,O
1,",",",",",",O
1,a,a,DT,O
1,woman,woman,NN,O
1,has,have,VBZ,O
1,not,not,RB,O
1,often,often,RB,O
1,much,much,JJ,O
1,beauty,beauty,NN,O
1,to,to,TO,O
1,think,think,VB,O
1,of,of,IN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,But,but,CC,O
1,",",",",",",O
1,my,my,PRP$,O
1,dear,dear,JJ,O
1,",",",",",",O
1,you,you,PRP,O
1,must,must,MD,O
1,indeed,indeed,RB,O
1,go,go,VB,O
1,and,and,CC,O
1,see,see,VB,O
1,Mr.,Mr.,NNP,O
1,Bingley,Bingley,NNP,PERSON
1,when,when,WRB,O
1,he,he,PRP,O
1,comes,come,VBZ,O
1,into,into,IN,O
1,the,the,DT,O
1,neighbourhood,neighbourhood,NN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,It,it,PRP,O
1,is,be,VBZ,O
1,more,more,JJR,O
1,than,than,IN,O
1,I,I,PRP,O
1,engage,engage,VBP,O
1,for,for,IN,O
1,",",",",",",O
1,I,I,PRP,O
1,assure,assure,VBP,O
1,you,you,PRP,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,But,but,CC,O
1,consider,consider,VB,O
1,your,you,PRP$,O
1,daughters,daughter,NNS,O
1,.,.,.,O
1,Only,only,RB,O
1,think,think,VB,O
1,what,what,WP,O
1,an,a,DT,O
1,establishment,establishment,NN,O
1,it,it,PRP,O
1,would,would,MD,O
1,be,be,VB,O
1,for,for,IN,O
1,one,one,CD,NUMBER
1,of,of,IN,O
1,them,they,PRP,O
1,.,.,.,O
1,Sir,Sir,NNP,O
1,William,William,NNP,PERSON
1,and,and,CC,O
1,Lady,Lady,NNP,PERSON
1,Lucas,Lucas,NNP,PERSON
1,are,be,VBP,O
1,determined,determine,VBN,O
1,to,to,TO,O
1,go,go,VB,O
1,",",",",",",O
1,merely,merely,RB,O
1,on,on,IN,O
1,that,that,DT,O
1,account,account,NN,O
1,",",",",",",O
1,for,for,IN,O
1,in,in,IN,O
1,general,general,JJ,TITLE
1,you,you,PRP,O
1,know,know,VBP,O
1,they,they,PRP,O
1,visit,visit,VB,O
1,no,no,DT,O
1,new,new,JJ,O
1,comers,comer,NNS,O
1,.,.,.,O
1,Indeed,indeed,RB,O
1,you,you,PRP,O
1,must,must,MD,O
1,go,go,VB,O
1,",",",",",",O
1,for,for,IN,O
1,it,it,PRP,O
1,will,will,MD,O
1,be,be,VB,O
1,impossible,impossible,JJ,O
1,for,for,IN,O
1,_,_,NFP,O
1,us,we,PRP,O
1,_,_,NFP,O
1,to,to,TO,O
1,visit,visit,VB,O
1,him,he,PRP,O
1,",",",",",",O
1,if,if,IN,O
1,you,you,PRP,O
1,do,do,VBP,O
1,not,not,RB,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,You,you,PRP,O
1,are,be,VBP,O
1,over,over,IN,O
1,scrupulous,scrupulous,JJ,O
1,surely,surely,RB,O
1,.,.,.,O
1,I,I,PRP,O
1,dare,dare,MD,O
1,say,say,VB,O
1,Mr.,Mr.,NNP,O
1,Bingley,Bingley,NNP,PERSON
1,will,will,MD,O
1,be,be,VB,O
1,very,very,RB,O
1,glad,glad,JJ,O
1,to,to,TO,O
1,see,see,VB,O
1,you,you,PRP,O
1,;,;,:,O
1,and,and,CC,O
1,I,I,PRP,O
1,will,will,MD,O
1,send,send,VB,O
1,a,a,DT,O
1,few,few,JJ,O
1,lines,line,NNS,O
1,by,by,IN,O
1,you,you,PRP,O
1,to,to,TO,O
1,assure,assure,VB,O
1,him,he,PRP,O
1,of,of,IN,O
1,my,my,PRP$,O
1,hearty,hearty,JJ,O
1,consent,consent,NN,O
1,to,to,IN,O
1,his,he,PRP$,O
1,marrying,marrying,NN,O
1,which,which,WDT,O
1,ever,ever,RB,O
1,he,he,PRP,O
1,chuses,chus,VBZ,O
1,of,of,IN,O
1,the,the,DT,O
1,girls,girl,NNS,O
1,;,;,:,O
1,though,though,IN,O
1,I,I,PRP,O
1,must,must,MD,O
1,throw,throw,VB,O
1,in,in,RP,O
1,a,a,DT,O
1,good,good,JJ,O
1,word,word,NN,O
1,for,for,IN,O
1,my,my,PRP$,O
1,little,little,JJ,O
1,Lizzy,Lizzy,NNP,PERSON
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,I,I,PRP,O
1,desire,desire,VBP,O
1,you,you,PRP,O
1,will,will,MD,O
1,do,do,VB,O
1,no,no,DT,O
1,such,such,JJ,O
1,thing,thing,NN,O
1,.,.,.,O
1,Lizzy,Lizzy,NNP,PERSON
1,is,be,VBZ,O
1,not,not,RB,O
1,a,a,DT,O
1,bit,bit,NN,O
1,better,good,JJR,O
1,than,than,IN,O
1,the,the,DT,O
1,others,other,NNS,O
1,;,;,:,O
1,and,and,CC,O
1,I,I,PRP,O
1,am,be,VBP,O
1,sure,sure,JJ,O
1,she,she,PRP,O
1,is,be,VBZ,O
1,not,not,RB,O
1,half,half,JJ,O
1,so,so,RB,O
1,handsome,handsome,JJ,O
1,as,as,IN,O
1,Jane,Jane,NNP,PERSON
1,",",",",",",O
1,nor,nor,CC,O
1,half,half,NN,O
1,so,so,RB,O
1,good,good,JJ,O
1,humoured,humour,VBN,O
1,as,as,IN,O
1,Lydia,Lydia,NNP,PERSON
1,.,.,.,O
1,But,but,CC,O
1,you,you,PRP,O
1,are,be,VBP,O
1,always,always,RB,O
1,giving,give,VBG,O
1,_,_,NFP,O
1,her,she,PRP$,O
1,_,_,NFP,O
1,the,the,DT,O
1,preference,preference,NN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,They,they,PRP,O
1,have,have,VBP,O
1,none,none,NN,O
1,of,of,IN,O
1,them,they,PRP,O
1,much,much,RB,O
1,to,to,TO,O
1,recommend,recommend,VB,O
1,them,they,PRP,O
1,",",",",",",O
1,"""","""",``,O
1,replied,reply,VBD,O
1,he,he,PRP,O
1,;,;,:,O
1,"""","""",``,O
1,they,they,PRP,O
1,are,be,VBP,O
1,all,all,RB,O
1,silly,silly,JJ,O
1,and,and,CC,O
1,ignorant,ignorant,JJ,O
1,like,like,IN,O
1,other,other,JJ,O
1,girls,girl,NNS,O
1,;,;,:,O
1,but,but,CC,O
1,Lizzy,Lizzy,NNP,PERSON
1,has,have,VBZ,O
1,something,something,NN,O
1,more,more,JJR,O
1,of,of,IN,O
1,quickness,quickness,NN,O
1,than,than,IN,O
1,her,she,PRP$,O
1,sisters,sister,NNS,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,",",",",",",O
1,how,how,WRB,O
1,can,can,MD,O
1,you,you,PRP,O
1,abuse,abuse,VB,O
1,your,you,PRP$,O
1,own,own,JJ,O
1,children,child,NNS,O
1,in,in,IN,O
1,such,such,PDT,O
1,a,a,DT,O
1,way,way,NN,O
1,?,?,.,O
1,You,you,PRP,O
1,take,take,VBP,O
1,delight,delight,NN,O
1,in,in,IN,O
1,vexing,vexing,JJ,O
1,me,I,PRP,O
1,.,.,.,O
1,You,you,PRP,O
1,have,have,VBP,O
1,no,no,DT,O
1,compassion,compassion,NN,O
1,on,on,IN,O
1,my,my,PRP$,O
1,poor,poor,JJ,O
1,nerves,nerve,NNS,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,You,you,PRP,O
1,mistake,mistake,VBP,O
1,me,I,PRP,O
1,",",",",",",O
1,my,my,PRP$,O
1,dear,dear,NN,O
1,.,.,.,O
1,I,I,PRP,O
1,have,have,VBP,O
1,a,a,DT,O
1,high,high,JJ,O
1,respect,respect,NN,O
1,for,for,IN,O
1,your,you,PRP$,O
1,nerves,nerve,NNS,O
1,.,.,.,O
1,They,they,PRP,O
1,are,be,VBP,O
1,my,my,PRP$,O
1,old,old,JJ,O
1,friends,friend,NNS,O
1,.,.,.,O
1,I,I,PRP,O
1,have,have,VBP,O
1,heard,hear,VBN,O
1,you,you,PRP,O
1,mention,mention,VBP,O
1,them,they,PRP,O
1,with,with,IN,O
1,consideration,consideration,NN,O
1,these,this,DT,O
1,twenty,twenty,CD,DURATION
1,years,year,NNS,DURATION
1,at,at,IN,O
1,least,least,RBS,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,Ah,ah,UH,O
1,!,!,.,O
1,you,you,PRP,O
1,do,do,VBP,O
1,not,not,RB,O
1,know,know,VB,O
1,what,what,WP,O
1,I,I,PRP,O
1,suffer,suffer,VBP,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,But,but,CC,O
1,I,I,PRP,O
1,hope,hope,VBP,O
1,you,you,PRP,O
1,will,will,MD,O
1,get,get,VB,O
1,over,over,IN,O
1,it,it,PRP,O
1,",",",",",",O
1,and,and,CC,O
1,live,live,VB,O
1,to,to,TO,O
1,see,see,VB,O
1,many,many,JJ,O
1,young,young,JJ,O
1,men,man,NNS,O
1,of,of,IN,O
1,four,four,CD,NUMBER
1,thousand,thousand,CD,NUMBER
1,a,a,DT,DURATION
1,year,year,NN,DURATION
1,come,come,VB,O
1,into,into,IN,O
1,the,the,DT,O
1,neighbourhood,neighbourhood,NN,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,It,it,PRP,O
1,will,will,MD,O
1,be,be,VB,O
1,no,no,DT,O
1,use,use,NN,O
1,to,to,IN,O
1,us,we,PRP,O
1,",",",",",",O
1,if,if,IN,O
1,twenty,twenty,CD,NUMBER
1,such,such,JJ,O
1,should,should,MD,O
1,come,come,VB,O
1,since,since,IN,O
1,you,you,PRP,O
1,will,will,MD,O
1,not,not,RB,O
1,visit,visit,VB,O
1,them,they,PRP,O
1,.,.,.,O
1,"""","""",``,O
1,"""","""",``,O
1,Depend,depend,VB,O
1,upon,upon,IN,O
1,it,it,PRP,O
1,",",",",",",O
1,my,my,PRP$,O
1,dear,dear,JJ,O
1,",",",",",",O
1,that,that,IN,O
1,when,when,WRB,O
1,there,there,EX,O
1,are,be,VBP,O
1,twenty,twenty,CD,NUMBER
1,",",",",",",O
1,I,I,PRP,O
1,will,will,MD,O
1,visit,visit,VB,O
1,them,they,PRP,O
1,all,all,DT,O
1,.,.,.,O
1,"""","""",``,O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,was,be,VBD,O
1,so,so,RB,O
1,odd,odd,JJ,O
1,a,a,DT,O
1,mixture,mixture,NN,O
1,of,of,IN,O
1,quick,quick,JJ,O
1,parts,part,NNS,O
1,",",",",",",O
1,sarcastic,sarcastic,JJ,O
1,humour,humour,NN,O
1,",",",",",",O
1,reserve,reserve,NN,O
1,",",",",",",O
1,and,and,CC,O
1,caprice,caprice,NN,O
1,",",",",",",O
1,that,that,IN,O
1,the,the,DT,O
1,experience,experience,NN,O
1,of,of,IN,O
1,three,three,CD,NUMBER
1,and,and,CC,O
1,twenty,twenty,CD,DURATION
1,years,year,NNS,DURATION
1,had,have,VBD,O
1,been,be,VBN,O
1,insufficient,insufficient,JJ,O
1,to,to,TO,O
1,make,make,VB,O
1,his,he,PRP$,O
1,wife,wife,NN,O
1,understand,understand,VB,O
1,his,he,PRP$,O
1,character,character,NN,O
1,.,.,.,O
1,_,_,NFP,O
1,Her,she,PRP$,O
1,_,_,NFP,O
1,mind,mind,NN,O
1,was,be,VBD,O
1,less,less,RBR,O
1,difficult,difficult,JJ,O
1,to,to,TO,O
1,develope,develope,VB,O
1,.,.,.,O
1,She,she,PRP,O
1,was,be,VBD,O
1,a,a,DT,O
1,woman,woman,NN,O
1,of,of,IN,O
1,mean,mean,JJ,O
1,understanding,understanding,NN,O
1,",",",",",",O
1,little,little,JJ,O
1,information,information,NN,O
1,",",",",",",O
1,and,and,CC,O
1,uncertain,uncertain,JJ,O
1,temper,temper,NN,O
1,.,.,.,O
1,When,when,WRB,O
1,she,she,PRP,O
1,was,be,VBD,O
1,discontented,discontented,JJ,O
1,she,she,PRP,O
1,fancied,fancy,VBD,O
1,herself,herself,PRP,O
1,nervous,nervous,JJ,O
1,.,.,.,O
1,The,the,DT,O
1,business,business,NN,O
1,of,of,IN,O
1,her,she,PRP$,O
1,life,life,NN,O
1,was,be,VBD,O
1,to,to,TO,O
1,get,get,VB,O
1,her,she,PRP$,O
1,daughters,daughter,NNS,O
1,married,marry,VBN,O
1,;,;,:,O
1,its,its,PRP$,O
1,solace,solace,NN,O
1,was,be,VBD,O
1,visiting,visit,VBG,O
1,and,and,CC,O
1,news,news,NN,O
1,.,.,.,O
2,Mr.,Mr.,NNP,O
2,Bennet,Bennet,NNP,PERSON
2,was,be,VBD,O
2,among,among,IN,O
2,the,the,DT,O
2,earliest,early,JJS,O
2,of,of,IN,O
2,those,that,DT,O
2,who,who,WP,O
2,waited,wait,VBD,O
2,on,on,IN,O
2,Mr.,Mr.,NNP,O
2,Bingley,Bingley,NNP,PERSON
2,.,.,.,O
2,He,he,PRP,O
2,had,have,VBD,O
2,always,always,RB,O
2,intended,intend,VBN,O
2,to,to,TO,O
2,visit,visit,VB,O
2,him,he,PRP,O
2,",",",",",",O
2,though,though,IN,O
2,to,to,IN,O
2,the,the,DT,O
2,last,last,JJ,O
2,always,always,RB,O
2,assuring,assure,VBG,O
2,his,he,PRP$,O
2,wife,wife,NN,O
2,that,that,IN,O
2,he,he,PRP,O
2,should,should,MD,O
2,not,not,RB,O
2,go,go,VB,O
2,;,;,:,O
2,and,and,CC,O
2,till,till,IN,O
2,the,the,DT,O
2,evening,evening,NN,TIME
2,after,after,IN,O
2,the,the,DT,O
2,visit,visit,NN,O
2,was,be,VBD,O
2,paid,pay,VBN,O
2,",",",",",",O
2,she,she,PRP,O
2,had,have,VBD,O
2,no,no,DT,O
2,knowledge,knowledge,NN,O
2,of,of,IN,O
2,it,it,PRP,O
2,.,.,.,O
2,It,it,PRP,O
2,was,be,VBD,O
2,then,then,RB,O
2,disclosed,disclose,VBN,O
2,in,in,IN,O
2,the,the,DT,O
2,following,follow,VBG,O
2,manner,manner,NN,O
2,.,.,.,O
2,Observing,observe,VBG,O
2,his,he,PRP$,O
2,second,second,JJ,ORDINAL
2,daughter,daughter,NN,O
2,employed,employ,VBN,O
2,in,in,IN,O
2,trimming,trim,VBG,O
2,a,a,DT,O
2,hat,hat,NN,O
2,",",",",",",O
2,he,he,PRP,O
2,suddenly,suddenly,RB,O
2,addressed,address,VBD,O
2,her,she,PRP,O
2,with,with,IN,O
2,",",",",",",O
2,"""","""",``,O
2,I,I,PRP,O
