sentence,chapter
"and turning round, he looked for a moment at Elizabeth, till catching her eye, he withdrew his own and coldly said, ""She is tolerable; but not handsome enough to tempt _me_; and I am in no humour at present to give consequence to young ladies who are slighted by other men.",3
"You had better return to your partner and enjoy her smiles, for you are wasting your time with me.""",3
Mr. Bingley followed his advice.,3
Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.,3
"She told the story however with great spirit among her friends; for she had a lively, playful disposition, which delighted in any thing ridiculous.",3
The evening altogether passed off pleasantly to the whole family.,3
Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.,3
"Mr. Bingley had danced with her twice, and she had been distinguished by his sisters.",3
"Jane was as much gratified by this, as her mother could be, though in a quieter way.",3
Elizabeth felt Jane's pleasure.,3
"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough to be never without partners, which was all that they had yet learnt to care for at a ball.",3
"They returned therefore in good spirits to Longbourn, the village where they lived, and of which they were the principal inhabitants.",3
They found Mr. Bennet still up.,3
With a book he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations.,3
He had rather hoped that all his wife's views on the stranger would be disappointed; but he soon found that he had a very different story to hear.,3
"""Oh!",3
"my dear Mr. Bennet,"" as she entered the room, ""we have had a most delightful evening, a most excellent ball.",3
I wish you had been there.,3
"Jane was so admired, nothing could be like it.",3
"Every body said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice.",3
Only think of _that_ my dear; he actually danced with her twice; and she was the only creature in the room that he asked a second time.,3
"First of all, he asked Miss Lucas.",3
"I was so vexed to see him stand up with her; but, however, he did not admire her at all: indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance.",3
"So, he enquired who she was, and got introduced, and asked her for the two next.",3
"Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the Boulanger----""  ""If he had had any compassion for _me_,"" cried her husband impatiently, ""he would not have danced half so much!",3
"For God's sake, say no more of his partners.",3
Oh!,3
"that he had sprained his ancle in the first dance!""",3
"""Oh!",3
"my dear,"" continued Mrs. Bennet, ""I am quite delighted with him.",3
He is so excessively handsome!,3
and his sisters are charming women.,3
I never in my life saw any thing more elegant than their dresses.,3
"I dare say the lace upon Mrs. Hurst's gown----""  Here she was interrupted again.",3
Mr. Bennet protested against any description of finery.,3
"She was therefore obliged to seek another branch of the subject, and related, with much bitterness of spirit and some exaggeration, the shocking rudeness of Mr. Darcy.",3
"""But I can assure you,"" she added, ""that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing.",3
So high and so conceited that there was no enduring him!,3
"He walked here, and he walked there, fancying himself so very great!",3
Not handsome enough to dance with!,3
"I wish you had been there, my dear, to have given him one of your set downs.",3
"I quite detest the man.""",3
"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how very much she admired him.",4
"""He is just what a young man ought to be,"" said she, ""sensible, good humoured, lively; and I never saw such happy manners!--so much ease, with such perfect good breeding!""",4
"""He is also handsome,"" replied Elizabeth, ""which a young man ought likewise to be, if he possibly can.",4
"His character is thereby complete.""",4
"""I was very much flattered by his asking me to dance a second time.",4
"I did not expect such a compliment.""",4
"""Did not you?",4
_I_ did for you.,4
But that is one great difference between us.,4
"Compliments always take _you_ by surprise, and _me_ never.",4
What could be more natural than his asking you again?,4
He could not help seeing that you were about five times as pretty as every other woman in the room.,4
No thanks to his gallantry for that.,4
"Well, he certainly is very agreeable, and I give you leave to like him.",4
"You have liked many a stupider person.""",4
"""Dear Lizzy!""",4
"""Oh!",4
"you are a great deal too apt you know, to like people in general.",4
You never see a fault in any body.,4
All the world are good and agreeable in your eyes.,4
"I never heard you speak ill of a human being in my life.""",4
"""I would wish not to be hasty in censuring any one; but I always speak what I think.""",4
"""I know you do; and it is _that_ which makes the wonder.",4
"With _your_ good sense, to be so honestly blind to the follies and nonsense of others!",4
Affectation of candour is common enough;--one meets it every where.,4
"But to be candid without ostentation or design--to take the good of every body's character and make it still better, and say nothing of the bad--belongs to you alone.",4
"And so, you like this man's sisters too, do you?",4
"Their manners are not equal to his.""",4
"""Certainly not; at first.",4
But they are very pleasing women when you converse with them.,4
"Miss Bingley is to live with her brother and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.""",4
"Elizabeth listened in silence, but was not convinced; their behaviour at the assembly had not been calculated to please in general; and with more quickness of observation and less pliancy of temper than her sister, and with a judgment too unassailed by any attention to herself, she was very little disposed to approve them.",4
"They were in fact very fine ladies; not deficient in good humour when they were pleased, nor in the power of being agreeable where they chose it; but proud and conceited.",4
"They were rather handsome, had been educated in one of the first private seminaries in town, had a fortune of twenty thousand pounds, were in the habit of spending more than they ought, and of associating with people of rank; and were therefore in every respect entitled to think well of themselves, and meanly of others.",4
They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother's fortune and their own had been acquired by trade.,4
"Mr. Bingley inherited property to the amount of nearly an hundred thousand pounds from his father, who had intended to purchase an estate, but did not live to do it.--Mr.",4
"Bingley intended it likewise, and sometimes made choice of his county; but as he was now provided with a good house and the liberty of a manor, it was doubtful to many of those who best knew the easiness of his temper, whether he might not spend the remainder of his days at Netherfield, and leave the next generation to purchase.",4
"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means unwilling to preside at his table, nor was Mrs. Hurst, who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her.",4
"Mr. Bingley had not been of age two years, when he was tempted by an accidental recommendation to look at Netherfield House.",4
"He did look at it and into it for half an hour, was pleased with the situation and the principal rooms, satisfied with what the owner said in its praise, and took it immediately.",4
"Between him and Darcy there was a very steady friendship, in spite of a great opposition of character.--Bingley was endeared to Darcy by the easiness, openness, ductility of his temper, though no disposition could offer a greater contrast to his own, and though with his own he never appeared dissatisfied.",4
"On the strength of Darcy's regard Bingley had the firmest reliance, and of his judgment the highest opinion.",4
In understanding Darcy was the superior.,4
"Bingley was by no means deficient, but Darcy was clever.",4
"He was at the same time haughty, reserved, and fastidious, and his manners, though well bred, were not inviting.",4
In that respect his friend had greatly the advantage.,4
"Bingley was sure of being liked wherever he appeared, Darcy was continually giving offence.",4
The manner in which they spoke of the Meryton assembly was sufficiently characteristic.,4
"Bingley had never met with pleasanter people or prettier girls in his life; every body had been most kind and attentive to him, there had been no formality, no stiffness, he had soon felt acquainted with all the room; and as to Miss Bennet, he could not conceive an angel more beautiful.",4
"Darcy, on the contrary, had seen a collection of people in whom there was little beauty and no fashion, for none of whom he had felt the smallest interest, and from none received either attention or pleasure.",4
"Miss Bennet he acknowledged to be pretty, but she smiled too much.",4
"Mrs. Hurst and her sister allowed it to be so--but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they should not object to know more of.",4
"Miss Bennet was therefore established as a sweet girl, and their brother felt authorised by such commendation to think of her as he chose.",4
"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune and risen to the honour of knighthood by an address to the King, during his mayoralty.",5
The distinction had perhaps been felt too strongly.,5
"It had given him a disgust to his business and to his residence in a small market town; and quitting them both, he had removed with his family to a house about a mile from Meryton, denominated from that period Lucas Lodge, where he could think with pleasure of his own importance, and unshackled by business, occupy himself solely in being civil to all the world.",5
"For though elated by his rank, it did not render him supercilious; on the contrary, he was all attention to every body.",5
"By nature inoffensive, friendly and obliging, his presentation at St. James's had made him courteous.",5
"Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs.",5
Bennet.--They had several children.,5
"The eldest of them, a sensible, intelligent young woman, about twenty-seven, was Elizabeth's intimate friend.",5
That the Miss Lucases and the Miss Bennets should meet to talk over a ball was absolutely necessary; and the morning after the assembly brought the former to Longbourn to hear and to communicate.,5
"""_You_ began the evening well, Charlotte,"" said Mrs. Bennet with civil self-command to Miss Lucas.",5
"""_You_ were Mr. Bingley's first choice.""",5
"""Yes;--but he seemed to like his second better.""",5
"""Oh!--you mean Jane, I suppose--because he danced with her twice.",5
To be sure that _did_ seem as if he admired her--indeed I rather believe he _did_--I heard something about it--but I hardly know what--something about Mr.,5
"Robinson.""",5
"""Perhaps you mean what I overheard between him and Mr. Robinson; did not I mention it to you?",5
"Mr. Robinson's asking him how he liked our Meryton assemblies, and whether he did not think there were a great many pretty women in the room, and _which_ he thought the prettiest?",5
and his answering immediately to the last question--Oh!,5
"the eldest Miss Bennet beyond a doubt, there cannot be two opinions on that point.""",5
"""Upon my word!--Well, that was very decided indeed--that does seem as if----but however, it may all come to nothing you know.""",5
"""_My_ overhearings were more to the purpose than _yours_, Eliza,"" said Charlotte.",5
"""Mr. Darcy is not so well worth listening to as his friend, is he?--Poor Eliza!--to be only just _tolerable_.""",5
"""I beg you would not put it into Lizzy's head to be vexed by his ill-treatment; for he is such a disagreeable man that it would be quite a misfortune to be liked by him.",5
"Mrs. Long told me last night that he sat close to her for half an hour without once opening his lips.""",5
"""Are you quite sure, Ma'am?--is not there a little mistake?""",5
"said Jane.--""I certainly saw Mr. Darcy speaking to her.""",5
"""Aye--because she asked him at last how he liked Netherfield, and he could not help answering her;--but she said he seemed very angry at being spoke to.""",5
"""Miss Bingley told me,"" said Jane, ""that he never speaks much unless among his intimate acquaintance.",5
"With _them_ he is remarkably agreeable.""",5
"""I do not believe a word of it, my dear.",5
If he had been so very agreeable he would have talked to Mrs. Long.,5
"But I can guess how it was; every body says that he is ate up with pride, and I dare say he had heard somehow that Mrs. Long does not keep a carriage, and had come to the ball in a hack chaise.""",5
"""I do not mind his not talking to Mrs. Long,"" said Miss Lucas, ""but I wish he had danced with Eliza.""",5
"""Another time, Lizzy,"" said her mother, ""I would not dance with _him_, if I were you.""",5
"""I believe, Ma'am, I may safely promise you _never_ to dance with him.""",5
"""His pride,"" said Miss Lucas, ""does not offend _me_ so much as pride often does, because there is an excuse for it.",5
"One cannot wonder that so very fine a young man, with family, fortune, every thing in his favour, should think highly of himself.",5
"If I may so express it, he has a _right_ to be proud.""",5
"""That is very true,"" replied Elizabeth, ""and I could easily forgive _his_ pride, if he had not mortified _mine_.""",5
"""Pride,"" observed Mary, who piqued herself upon the solidity of her reflections, ""is a very common failing I believe.",5
"By all that I have ever read, I am convinced that it is very common indeed, that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary.",5
"Vanity and pride are different things, though the words are often used synonimously.",5
A person may be proud without being vain.,5
"Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.""",5
"""If I were as rich as Mr. Darcy,"" cried a young Lucas who came with his sisters, ""I should not care how proud I was.",5
"I would keep a pack of foxhounds, and drink a bottle of wine every day.""",5
"""Then you would drink a great deal more than you ought,"" said Mrs. Bennet; ""and if I were to see you at it I should take away your bottle directly.""",5
"The boy protested that she should not; she continued to declare that she would, and the argument ended only with the visit.",5
The ladies of Longbourn soon waited on those of Netherfield.,6
The visit was returned in due form.,6
"Miss Bennet's pleasing manners grew on the good will of Mrs. Hurst and Miss Bingley; and though the mother was found to be intolerable and the younger sisters not worth speaking to, a wish of being better acquainted with _them_, was expressed towards the two eldest.",6
"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of every body, hardly excepting even her sister, and could not like them; though their kindness to Jane, such as it was, had a value as arising in all probability from the influence of their brother's admiration.",6
"It was generally evident whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the first, and was in a way to be very much in love; but she considered with pleasure that it was not likely to be discovered by the world in general, since Jane united with great strength of feeling, a composure of temper and a uniform cheerfulness of manner, which would guard her from the suspicions of the impertinent.",6
She mentioned this to her friend Miss Lucas.,6
"""It may perhaps be pleasant,"" replied Charlotte, ""to be able to impose on the public in such a case; but it is sometimes a disadvantage to be so very guarded.",6
"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the dark.",6
"There is so much of gratitude or vanity in almost every attachment, that it is not safe to leave any to itself.",6
We can all _begin_ freely--a slight preference is natural enough; but there are very few of us who have heart enough to be really in love without encouragement.,6
"In nine cases out of ten, a woman had better shew _more_ affection than she feels.",6
"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.""",6
"""But she does help him on, as much as her nature will allow.",6
"If _I_ can perceive her regard for him, he must be a simpleton indeed not to discover it too.""",6
"""Remember, Eliza, that he does not know Jane's disposition as you do.""",6
"""But if a woman is partial to a man, and does not endeavour to conceal it, he must find it out.""",6
"""Perhaps he must, if he sees enough of her.",6
"But though Bingley and Jane meet tolerably often, it is never for many hours together; and as they always see each other in large mixed parties, it is impossible that every moment should be employed in conversing together.",6
Jane should therefore make the most of every half hour in which she can command his attention.,6
"When she is secure of him, there will be leisure for falling in love as much as she chuses.""",6
"""Your plan is a good one,"" replied Elizabeth, ""where nothing is in question but the desire of being well married; and if I were determined to get a rich husband, or any husband, I dare say I should adopt it.",6
But these are not Jane's feelings; she is not acting by design.,6
"As yet, she cannot even be certain of the degree of her own regard, nor of its reasonableness.",6
She has known him only a fortnight.,6
"She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined in company with him four times.",6
"This is not quite enough to make her understand his character.""",6
"""Not as you represent it.",6
"Had she merely _dined_ with him, she might only have discovered whether he had a good appetite; but you must remember that four evenings have been also spent together--and four evenings may do a great deal.""",6
"""Yes; these four evenings have enabled them to ascertain that they both like Vingt-un better than Commerce; but with respect to any other leading characteristic, I do not imagine that much has been unfolded.""",6
"""Well,"" said Charlotte, ""I wish Jane success with all my heart; and if she were married to him to-morrow, I should think she had as good a chance of happiness, as if she were to be studying his character for a twelvemonth.",6
Happiness in marriage is entirely a matter of chance.,6
"If the dispositions of the parties are ever so well known to each other, or ever so similar before-hand, it does not advance their felicity in the least.",6
"They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.""",6
"""You make me laugh, Charlotte; but it is not sound.",6
"You know it is not sound, and that you would never act in this way yourself.""",6
"Occupied in observing Mr. Bingley's attentions to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend.",6
"Mr. Darcy had at first scarcely allowed her to be pretty; he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise.",6
"But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes.",6
To this discovery succeeded some others equally mortifying.,6
"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing; and in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness.",6
"Of this she was perfectly unaware;--to her he was only the man who made himself agreeable no where, and who had not thought her handsome enough to dance with.",6
"He began to wish to know more of her, and as a step towards conversing with her himself, attended to her conversation with others.",6
His doing so drew her notice.,6
"It was at Sir William Lucas's, where a large party were assembled.",6
"""What does Mr. Darcy mean,"" said she to Charlotte, ""by listening to my conversation with Colonel Forster?""",6
"""That is a question which Mr. Darcy only can answer.""",6
"""But if he does it any more I shall certainly let him know that I see what he is about.",6
"He has a very satirical eye, and if I do not begin by being impertinent myself, I shall soon grow afraid of him.""",6
"On his approaching them soon afterwards, though without seeming to have any intention of speaking, Miss Lucas defied her friend to mention such a subject to him, which immediately provoking Elizabeth to do it, she turned to him and said,  ""Did not you think, Mr. Darcy, that I expressed myself uncommonly well just now, when I was teazing Colonel Forster to give us a ball at Meryton?""",6
"""With great energy;--but it is a subject which always makes a lady energetic.""",6
"""You are severe on us.""",6
"""It will be _her_ turn soon to be teazed,"" said Miss Lucas.",6
"""I am going to open the instrument, Eliza, and you know what follows.""",6
"""You are a very strange creature by way of a friend!--always wanting me to play and sing before any body and every body!--If my vanity had taken a musical turn, you would have been invaluable, but as it is, I would really rather not sit down before those who must be in the habit of hearing the very best performers.""",6
"On Miss Lucas's persevering, however, she added, ""Very well; if it must be so, it must.""",6
"And gravely glancing at Mr. Darcy, ""There is a fine old saying, which every body here is of course familiar with--'Keep your breath to cool your porridge,'--and I shall keep mine to swell my song.""",6
"Her performance was pleasing, though by no means capital.",6
"After a song or two, and before she could reply to the entreaties of several that she would sing again, she was eagerly succeeded at the instrument by her sister Mary, who having, in consequence of being the only plain one in the family, worked hard for knowledge and accomplishments, was always impatient for display.",6
"Mary had neither genius nor taste; and though vanity had given her application, it had given her likewise a pedantic air and conceited manner, which would have injured a higher degree of excellence than she had reached.",6
"Elizabeth, easy and unaffected, had been listened to with much more pleasure, though not playing half so well; and Mary, at the end of a long concerto, was glad to purchase praise and gratitude by Scotch and Irish airs, at the request of her younger sisters, who with some of the Lucases and two or three officers joined eagerly in dancing at one end of the room.",6
